subject,language,age,gender,handedness,eye,aq_score,social,attention,communication,fantasy,detail, [I prefer to do things with others rather than on my own.], [I prefer to do things the same way over and over again.]," [If I try to imagine something, I find it very easy to create a picture in my mind.]", [I frequently get so strongly absorbed in one thing that I lose sight of other things.], [I often notice small sounds when others do not.], [I usually notice car number plates or similar strings of information.]," [Other people frequently tell me that what Ive said is impolite, even though I think it is polite.]"," [When Im reading a story, I can easily imagine what the characters might look like.]", [I am fascinated by dates.]," [In a social group, I can easily keep track of several different peoples conversations.]", [I find social situations easy.], [I tend to notice details that others do not.], [I would rather go to a library than a party.], [I find making up stories easy.], [I find myself drawn more strongly to people than to things.], [I tend to have very strong interests which I get upset about if I cant pursue.], [I enjoy social chit-chat.]," [When I talk, it isnt always easy for others to get a word in edgeways.]", [I am fascinated by numbers.]," [When Im reading a story, I find it difficult to work out the characters intentions.]", [I dont particularly enjoy reading fiction.], [I find it hard to make new friends.], [I notice patterns in things all the time.], [I would rather go to the theatre than a museum.], [It does not upset me if my daily routine is disturbed.], [I frequently find that I dont know how to keep a conversation going.], [I find it easy to read between the lines when someone is talking to me.]," [I usually concentrate more on the whole picture, rather than the small details.]", [I am not very good at remembering phone numbers.]," [I dont usually notice small changes in a situation, or a persons appearance.]", [I know how to tell if someone listening to me is getting bored.], [I find it easy to do more than one thing at once.]," [When I talk on the phone, Im not sure when its my turn to speak.]", [I enjoy doing things spontaneously.], [I am often the last to understand the point of a joke.], [I find it easy to work out what someone is thinking or feeling just by looking at their face.]," [If there is an interruption, I can switch back to what I was doing very quickly.]", [I am good at social chit-chat.], [People often tell me that I keep going on and on about the same thing.]," [When I was young, I used to enjoy playing games involving pretending with other children.]"," [I like to collect information about categories of things (e.g. types of car, types of bird, types of train, types of plant, etc.).]", [I find it difficult to imagine what it would be like to be someone else.], [I like to plan any activities I participate in carefully.], [I enjoy social occasions.], [I find it difficult to work out peoples intentions], [New situations make me anxious.], [I enjoy meeting new people.], [I am a good diplomat.], [I am not very good at remembering peoples date of birth.], [I find it very easy to play games with children that involve pretending.]
102,en,25,female,right,right,119,24,30,20,22,23,1,3,4,4,3,1,2,4,2,3,3,3,3,1,2,2,2,2,1,1,2,3,3,3,1,1,4,2,4,1,4,2,2,2,2,4,1,3,4,1,1,2,2,3,2,3,3,3,3,1
103,en,21,female,right,right,86,14,18,14,20,20,4,2,3,2,3,1,1,3,1,3,4,2,1,2,4,2,4,2,1,2,3,1,2,2,3,2,3,3,2,1,4,4,1,4,1,2,3,4,2,4,1,2,2,4,2,2,4,3,4,4
104,en,19,female,right,right,116,21,29,20,17,29,3,3,3,3,2,2,2,4,3,4,4,4,4,3,4,3,3,1,3,1,2,3,4,3,3,3,4,3,2,2,3,2,2,1,2,3,2,2,2,3,2,2,4,3,2,3,3,3,2,4
105,en,19,female,right,right,117,26,24,20,21,26,4,3,4,2,3,2,1,3,2,3,1,3,2,2,2,3,3,1,3,2,1,4,2,3,3,3,3,2,2,2,4,3,3,3,1,3,2,1,2,3,1,3,1,3,2,4,3,1,3,1
106,nl,41,female,both,left,99,18,24,20,16,21,2,3,2,1,3,1,3,3,1,1,3,3,1,3,4,1,3,4,1,1,1,2,1,3,3,2,3,2,3,2,3,1,1,3,1,4,2,3,1,4,1,2,2,4,3,2,4,2,2,4
107,en,28,female,right,right,126,24,23,30,26,23,3,2,1,3,4,1,4,2,1,3,2,4,2,1,3,2,1,2,1,2,2,2,3,4,3,3,2,1,2,4,4,4,3,3,2,4,2,1,4,4,2,3,3,3,3,3,2,1,4,1
108,nl,20,female,right,right,88,15,20,15,19,19,3,4,3,2,3,1,1,3,1,2,3,2,1,3,4,2,4,3,1,2,1,2,1,4,4,2,3,4,1,4,3,4,1,4,1,3,4,4,1,3,1,2,3,4,1,2,4,3,1,1
109,en,19,female,right,right,98,17,21,21,19,20,3,3,2,2,2,3,1,3,2,4,4,2,2,1,3,2,3,3,2,1,1,1,2,4,3,2,2,3,4,3,3,3,2,3,2,3,2,3,2,3,2,1,2,4,2,2,4,2,3,3
110,nl,29,female,left,right,121,20,32,20,26,23,3,3,3,3,4,3,1,2,1,1,3,3,2,4,4,4,3,3,3,2,4,2,3,2,2,2,3,3,3,4,3,1,1,4,3,2,1,4,3,3,2,4,3,3,2,3,3,3,4,2
111,en,24,male,right,right,103,16,31,23,14,19,3,4,4,4,3,2,1,3,1,1,3,4,2,3,4,3,4,3,1,2,1,3,3,4,3,3,2,3,4,4,3,1,2,3,1,3,3,2,4,4,2,1,3,4,1,3,4,4,4,4
112,en,20,male,left,right,118,23,27,22,20,26,3,2,3,4,3,2,2,3,3,4,2,3,3,3,4,3,3,3,2,1,1,3,3,3,3,3,3,4,2,2,4,2,2,3,1,3,1,3,4,3,3,2,4,3,2,2,2,3,2,2
113,en,32,female,right,right,110,21,31,14,22,22,1,1,3,4,4,1,1,3,1,2,2,3,2,3,4,3,3,1,1,1,1,1,3,1,1,2,4,1,4,2,4,2,2,2,1,1,1,3,1,2,2,3,2,3,1,4,4,3,4,3
114,nl,23,female,right,right,91,18,19,16,17,21,3,4,4,2,2,1,1,4,1,3,3,4,1,2,4,1,3,2,1,2,1,2,2,4,3,2,3,2,3,1,4,3,1,4,2,3,3,3,1,3,1,2,2,4,2,1,3,2,4,2
