,subject,trial_num,letter,frequency,r,g,b,PBASE,ITI,match,button,correct,RT,block,pupil_feed_locked_t1,pupil_baseline_feed_locked,missing,drop_trial
0,102,0,D,80,76,154,68,3.7700000000000000,5.5000000000000000,0,ralt,False,0.9164558700000000,1.0000000000000000,17.7841814633879842,16.7589875649683790,False,False
1,102,1,I,80,138,154,91,5.3399999999999999,4.9000000000000004,0,ralt,False,1.4712549699999999,1.0000000000000000,18.4654155578121895,-10.9379239426826889,False,False
2,102,2,T,40,157,193,131,4.0700000000000003,5.2300000000000004,1,lalt,False,1.0251327600000000,1.0000000000000000,4.7916189764784480,-6.3449017977616924,False,False
3,102,3,R,20,138,154,91,4.7100000000000000,4.4299999999999997,0,ralt,False,0.8950327600000000,1.0000000000000000,13.2681835989570498,-3.8046847772194936,False,False
4,102,4,A,20,157,193,131,3.5600000000000001,3.6299999999999999,0,lalt,True,1.3159262300000001,1.0000000000000000,-0.2347798024264708,-11.5529448299572408,False,False
5,102,5,A,20,75,124,89,5.2999999999999998,4.7599999999999998,1,ralt,True,1.4349705300000000,1.0000000000000000,4.6598863315725279,7.6258179863983004,False,False
6,102,6,R,20,76,154,68,4.3399999999999999,4.9800000000000004,1,lalt,False,1.4137995900000000,1.0000000000000000,6.2729544929663010,10.9365936479095929,False,False
7,102,7,T,40,157,193,131,5.2199999999999998,5.2199999999999998,1,lalt,False,1.3347133099999999,1.0000000000000000,7.1708286047635736,-7.6949789087538862,False,False
8,102,8,D,80,0,168,107,5.3099999999999996,4.2800000000000002,1,lalt,False,1.4723391200000000,1.0000000000000000,5.8271585476841015,-4.2489861863158715,False,False
9,102,9,I,80,3,121,112,4.1699999999999999,5.0599999999999996,1,ralt,True,1.3051734699999999,1.0000000000000000,8.6503980325568470,-2.9765320057989371,False,False
10,102,10,T,40,76,154,68,5.0000000000000000,4.4900000000000002,0,lalt,True,1.0301556999999999,1.0000000000000000,5.5842522908352654,-13.4169426065773720,False,False
11,102,11,I,80,3,121,112,4.5599999999999996,4.8499999999999996,1,ralt,True,1.1850888500000001,1.0000000000000000,1.2699186703206480,-9.9330696356489092,False,False
